COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Oostmalsebaan,,,60,51.2674313849,4.78117537572
Lille,,,2275,Rozenlaan,,,62,51.2648172302,4.86901322746
Lille,,,2275,Zagerijstraat,,,33,51.2326835889,4.82136976474
Lille,,,2275,Kardinaal Cardijnlaan,,,50,51.2336030183,4.83982689295
Lille,,,2275,Beersebaan,,,86,51.2751148061,4.86547507802
Lille,,,2275,Houtzijde,,,89,51.2568985743,4.83220744072
Lille,,,2275,Heiend,,,10,51.235865685,4.82504081268
Lille,,,2275,Dorp,,,90,51.2300312888,4.83405790121
Lille,,,2275,Beerseheide,,,16,51.2935400964,4.84295353016
Lille,,,2275,Bersegembaan,,,36,,
Lille,,,2275,Lichtaartsesteenweg,,,99,51.2210683602,4.86618015252
Lille,,,2275,Rozenlaan,,,20,51.2652646995,4.86732685274
Lille,,,2275,Gierlebaan,,,26B,,
Lille,,,2275,Baan,,,66,51.2343465486,4.83878922623
Lille,,,2275,Pellaarstraat,,,6,51.2751489904,4.86628051788
Lille,,,2275,Poederleese weg,,,20,51.2369320577,4.82539562681
Lille,,,2275,Beerseheide,,,3,51.2953129847,4.84933499533
Lille,,,2275,Lindelostraat,,,10,51.236735073,4.82398748277
Lille,,,2275,Beersebaan,,,110,51.2766109056,4.86507274391
Lille,,,2275,Molenheide,,,1,51.2694989874,4.78961023933
Lille,,,2275,Valvekenstraat,,,36,51.2529246145,4.82180029845
Lille,,,2275,Lichtaartsesteenweg,,,43,51.2244113673,4.83826262711
Lille,,,2275,Borze,,,27,51.2401787522,4.83738424917
Lille,,,2275,Zand,,,4,51.269623242,4.79965147861
Lille,,,2275,Eekhoornweg,,,27,51.2748366425,4.7914695894
Lille,,,2275,De Schrans,,,9,51.2369616058,4.82007058776
Lille,,,2275,Duivenstraat,,,6,51.2487198638,4.81887302556
Lille,,,2275,Gebroeders De Winterstraat,,,1,,
Lille,,,2275,Pastorijstraat,,,62,51.2671499854,4.79377439562
Lille,,,2275,Achterstenhoek,,,27,,
Lille,,,2275,Molenpad,,,41,51.273026264,4.86767300375
Lille,,,2275,Steenbrukken,,,4,51.2345677374,4.82694638
Lille,,,2275,Borgakker,,,7,51.2573903067,4.78922793673
Lille,,,2275,Eigenaarsstraat,,,1,51.2692067642,4.86764349716
Lille,,,2275,Gebroeders De Winterstraat,,,42,51.2611607842,4.7915879739
Lille,,,2275,Vennestraat,,,89,51.2628389408,4.87288990592
Lille,,,2275,Zand,,,73,51.2636168216,4.80194568684
